melhor,medio,pior
0,11,99
1,66,98
3,99,98
4,38,97
4,56,95
10,54,95
10,29,95
11,54,94
11,95,93
12,40,93
12,54,91
15,91,88
16,27,86
16,82,85
17,68,83
17,21,82
18,32,82
18,28,80
21,95,80
22,75,79
23,30,79
24,17,79
24,63,76
27,44,75
27,79,74
28,23,73
29,24,69
30,65,69
30,61,68
32,98,68
32,69,66
32,80,65
33,44,64
34,58,63
35,50,61
35,30,61
35,35,59
37,49,58
38,15,58
38,4,56
40,74,56
41,32,55
42,17,54
43,93,54
44,18,54
44,42,54
44,50,53
49,16,52
49,32,50
50,22,50
50,0,50
50,3,49
52,76,49
53,4,44
54,38,44
54,69,44
54,43,43
54,61,42
55,10,41
56,68,40
56,35,38
58,95,38
58,56,37
59,12,35
61,82,35
61,27,35
63,98,34
64,55,33
65,94,32
66,10,32
68,34,32
68,93,30
69,79,30
69,50,29
73,53,28
74,54,27
75,35,27
76,85,24
79,44,24
79,83,23
79,86,22
80,73,21
80,97,18
82,18,18
82,49,17
83,80,17
85,33,16
86,59,16
88,11,15
91,58,12
93,52,12
93,64,11
94,1,11
95,37,10
95,41,10
95,79,4
97,88,4
98,24,3
98,16,1
99,12,0
